ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
주주님들 다들,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
야들아 하나만,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내일 얼마나,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
6만원 깨지면,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내일 하락장,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
에라이 새기들아,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
10 상승,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내일 주식시장,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
세금 정리,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
트럼프 당선,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
지분 보유,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
중국이 물량,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
물량 가져갔다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
가져갔다 진단,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
진단 시약,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
시약 부족,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
우리 주주님들,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
매수 금지,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
램시마가 일냈군요,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
일냈군요 연상,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
연상 뉴스네여,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
치사율 4프로면,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
4프로면 항국도,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
항국도 나올때가,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
나올때가 는데,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
월요일 앞자리,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
확진자 증가,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
좋아하는 이유,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
필독 향후,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
5000 시대,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
시대 반드시,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
반드시 지키겠습니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
지키겠습니다 저평가,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주목할 때입니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
나스닥 폭등중,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
우리 문재인,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
아주 좋은,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
no less,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
less competitive,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
알고 있다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
때가 되면,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
오르고 있다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
연속 적자,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
매도한 형이다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
반도체 지수,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
2차 상승,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
상승 터지겠네,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내가 말했자나,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
낼은 10000퍼,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
10000퍼 하락,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
항체 치료제,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
하한가 입니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
