candidate,published_at,company_code,views,comment,title
보십니까,2021-04-30 23:37:00,027740,776,3,마니커 입성할라 카는대 어찌들 보십니까? 
보십니까,2021-01-31 23:14:00,028260,509,4,구정때 이재용 사면 가능성 어떻게 보십니까?
보십니까,2021-01-31 23:04:00,268600,570,3,내일 시초 갭상승 몇% 얼마보십니까?
보십니까,2020-01-31 23:23:00,303030,753,2,고수님들 하락 얼마까지 보십니까? 시총800억대다되가네요
브리핑,2021-06-30 22:35:00,028050,1469,7,캡틴 종목 브리핑 3
브리핑,2023-01-31 23:32:00,402030,544,13,글로벌 경제 간단 브리핑
브리핑,2020-07-31 23:35:00,019170,762,8,곧 7일안에 긴급승인 질본 브리핑 나옴
브리핑,2021-05-31 23:25:00,003000,523,7,금일 간단 브리핑
브리핑,2020-05-31 23:15:00,253840,1041,3,오늘 방역당국 정례 브리핑에서
브리핑,2021-06-30 23:09:00,011000,551,5,여기 대표가 방송에서 브리핑 하는거 들어는봤냐??
브리핑,2020-01-31 23:33:00,068270,1004,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
브리핑,2020-01-31 22:52:00,000660,977,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
브리핑,2020-01-31 22:38:00,005930,584,0,[주식브리핑]코스닥680코스피2250고점제시+시간외급락한신종코로나관련종목담주월요일매도대응가격제시
브리핑,2024-07-31 22:54:00,185490,423,0,6만을 이미 본 사람이 브리핑 해준다.
영국임상,2020-10-31 21:41:00,068270,1277,7,●램시마 영국임상 치료제결과 대박
영국임상,2020-10-31 23:04:00,068270,1477,5,●램시마 영국임상결과 란센 논문 실림!!!
영국임상,2020-10-31 21:48:00,068270,1190,4,●램시마 코로나 영국임상 결과 논문 실리네
영국임상,2020-10-31 22:01:00,068270,1315,3,●램시마 코로나 영국임상 결과 논문 실리네
영국임상,2020-10-31 23:19:00,068270,1604,2,●램시마 코로나 영국임상 결과 논문 실리네!!!
영국임상,2020-10-31 21:58:00,068270,1205,2,●램시마 영국임상결과 란센 논문 실림!!!
영국임상,2020-10-31 21:28:00,068270,1140,2,●램시마 코로나 영국임상 결과 논문 실리네
영국임상,2020-10-31 21:47:00,068270,980,0,●램시마 영국임상 치료제결과 대박
기사입니다,2020-08-31 23:21:00,007570,1216,10,러시아 정찰중 발견한 기사입니다. 그냥 참고만요
기사입니다,2020-06-30 22:54:00,141080,1887,5,"[CEO Letter] 김용주 레고켐바이오 대표 ""글로벌 기술이전 3건 이상 추진"" 2017년 4월 17일 한국경제TV 기사입니다."
기사입니다,2023-08-31 23:49:00,091120,1655,3,The bell에 나온 기사입니다
기사입니다,2021-12-31 20:44:00,005290,1247,2,한경기사입니다  
기사입니다,2023-04-30 22:28:00,151860,707,4,최신 기사입니다 주주들 참고하세요
기사입니다,2022-03-31 23:19:00,117580,279,2,아래 좀전에 뜬 기사입니다. 참고하시길
보도내용,2020-01-31 23:25:00,005290,856,10,우한폐렴 독감수준? (현지인 보도내용)
보도내용,2020-01-31 23:13:00,061970,887,3,우한폐렴은 그냥 독감정도? (중국현지인 보도내용)
보도내용,2020-01-31 23:23:00,067310,864,3,우한폐렴은 그냥 독감정도? (현지중국인 보도내용)
보도내용,2025-06-30 23:50:00,009830,526,4,태양광 리스 세액공제 유지 관련 보도내용
보도내용,2020-01-31 23:20:00,033640,928,1,우한폐렴은 독감정도? (현지중국인 보도내용)
보도내용,2022-09-30 23:35:00,013720,272,0,그런데 경악할 일은? 더듬어투기당은 MBC자막조작보도 전 의원회의에서 이미 조작보도내용을 발언하였고..
치명적인,2020-03-31 23:27:00,261220,2352,4,근데 정말 치명적인단점이잇네
치명적인,2020-02-29 23:02:00,059090,1192,6,미코의 치명적인 약점.......
치명적인,2020-02-29 22:40:00,096530,719,10,치명적인.약점이 있음.....씨젠.진단키트는 호환이
치명적인,2024-03-31 22:57:00,048410,711,4,●■일본에서 급속히 확산되고 있는 치명적인 감염인 연쇄구균 독성쇼크증후군■●
치명적인,2024-02-29 23:50:00,090460,1179,2,이회장이 치명적인 암이라는 말이 사실인가요
치명적인,2020-08-31 23:38:00,019170,457,2,신풍 치명적인 악재는 알고 떠드냐?
치명적인,2024-10-31 23:23:00,122870,76,0,양현석 아이큐가 치명적인이유
질본,2021-12-31 20:41:00,068270,1065,14,같잖은 식약처 개질본은
질본,2020-07-31 23:35:00,019170,762,8,곧 7일안에 긴급승인 질본 브리핑 나옴
질본,2021-07-31 22:51:00,068270,1213,3,질본/식약처 책임
질본,2020-07-31 23:44:00,019170,726,4,"고대,질본,신풍이 미쳤냐?-----"
질본,2020-02-29 21:33:00,059090,841,3,질본승인
질본,2020-05-31 22:47:00,003000,1000,2,질본
